Achievement,Syntax City Unlocked!
???,[turns around]
???,[on the phone] uhm... yes dear; I think I see that person.
???,[oh the phone]The one with the horrible pants-! I think they heard me!
???,[on the phone]ah; vivi calm down dear. I got this.
???,[hangs up]...[turns to you]
???,Ahem; hello... you must be $player_name
???,I'm vivi- I mean; vivan's aunt. She must have mentioned me.
Vivian's Aunt,It's a pleasure to meet you! Vivi has told me so many things about you on the phone
Vivian's Aunt,Oops; I wasn't supposed to tell you that-
Vivian's Aunt,Keep it a secret; okay?
Vivian's Aunt,Anyways; this is the cake you I had to give her!
Achievement,+1 Vivan's Blackberry Cake
Vivian's Aunt,Here; I have some for you as well...
Vivian's Aunt,No; it's alright! I want you to have some
Vivian's Aunt,I have cake in excess anyway! So go on.. eat it...
Vivian's Aunt,Go on....
Vivian's Aunt,[watches you to eat]
Vivian's Aunt,....what? It's good? Remind you of your mom's cooking?
Vivian's Aunt,hahaha... you don't have to flatter me so much
Vivian's Aunt,hahahaha [tears up] it's not that good...
Vivian's Aunt,No one's ever complimented me about this
Vivian's Aunt,Thank you so much; $player_name!
Vivian's Aunt,[Holds your hands and cries] I take it back! Your pants are amazing!
Vivian's Aunt,You can always come to this city for a meal! I promise you that!!
Vivian's Aunt,[sniff] Oh; I gotta get going!
Vivian's Aunt,I'm sorry I wasn't able to be a good hostpitality; I have an appointment
Vivian's Aunt,You can stay here in the city and explore it for a while and then go back at your own time
Vivian's Aunt,The cake stays fresh for many days....
Vivian's Aunt,Okay; Bye... tell vivian that I miss her.
Vivian's Aunt,Bye; $player_name.


 
